uniqueID,position_name,positionWikidataID,start_date,end_date
Abbott1957,Prime Minister of Australia,Q319145,2013-09-18,2015-09-15
Abbott1957,Commonwealth Chairperson-in-Office,Q5153709,2013-09-18,2013-11-15
Abbott1957,Minister for Health,Q6865857,2003-10-07,2007-12-03
Abbott1957,Leader of the House,Q16147127,2001-11-26,2007-12-03
Abbott1957,Minister for Employment and Workplace Relations,Q6865809,2001-01-30,2003-10-07
Abbott1957,Minister for Employment Services,Q61791242,1998-10-21,2001-01-30
Abetz1958,Minister for Employment and Workplace Relations,Q6865809,2013-09-18,2015-09-21
Abetz1958,Leader of the Government in the Senate,Q17009655,2013-09-18,NA
Abetz1958,Minister for Agriculture,Q6865745,2006-01-27,2007-12-03
Abetz1958,Special Minister of State,Q7574624,2001-01-30,2006-01-27
Adermann1896,Minister for Agriculture,Q6865745,NA,NA
Albanese1963,"Minister for Broadband, Communications and the Digital Economy",Q11796917,2013-07-01,2013-09-18
Albanese1963,Deputy Prime Minister of Australia,Q5261065,2013-06-27,2013-09-18
Albanese1963,Minister for Infrastructure and Transport,Q6865888,2013-03-25,2013-07-01
Albanese1963,Minister for Infrastructure and Transport,Q6865888,2007-12-03,2013-09-18
Albanese1963,Leader of the House,Q16147127,2007-12-03,2013-09-18
Anderson1956,Deputy Prime Minister of Australia,Q5261065,1999-07-20,2005-07-06
Anderson1956,Minister for Infrastructure and Transport,Q6865888,1998-10-21,2005-07-06
Anderson1956,Minister for Agriculture,Q6865745,1996-03-11,1998-10-21
Andrew1944,Speaker of the House of Representatives,Q7574256,1998-11-10,2004-11-16
Andrews1955,Minister for Defence,Q3315112,2014-12-23,2015-09-21
Andrews1955,Minister for Social Services,Q6865821,2013-09-18,2014-12-23
Andrews1955,Minister for Immigration and Border Protection of Australia,Q11796950,2007-01-30,2007-12-03
Andrews1955,Minister for Employment and Workplace Relations,Q6865809,2003-10-07,2007-01-30
Andrews1955,Minister for Social Services,Q6865821,2001-11-26,2003-10-07
Anthony1929,Deputy Prime Minister of Australia,Q5261065,1975-11-12,1983-03-11
Anthony1929,Deputy Prime Minister of Australia,Q5261065,1971-02-05,1972-12-05
Arthur1875,Minister for Foreign Affairs,Q2660943,NA,NA
Aston1916,Speaker of the House of Representatives,Q7574256,1967-02-21,1972-11-02
Bailey1946,Minister for Small Business (Australia),Q11796971,2004-10-09,2007-11-24
Bailey1946,Minister for Foreign Affairs,Q2660943,2004-10-09,2007-11-24
Bailey1946,Minister for Employment and Workplace Relations,Q6865809,2004-07-18,2004-10-26
Baker1841,President of the Australian Senate,Q7241304,1901-05-09,1906-12-31
Barnard1919,Minister for Social Services,Q6865821,1972-12-05,1972-12-19
Barnard1919,Deputy Prime Minister of Australia,Q5261065,1972-12-05,1974-06-12
Barnard1919,Minister for Defence,Q3315112,1972-12-05,1975-06-06
Barnard1919,Minister for Defence,Q3315112,1972-12-02,1975-06-06
Barnard1919,Deputy Prime Minister of Australia,Q5261065,1972-12-02,1974-05-18
Barton1849,Prime Minister of Australia,Q319145,1901-01-01,1903-09-24
Barton1849,Minister for Foreign Affairs,Q2660943,1901-01-01,1903-09-24
Barwick1903,Attorney-General for Australia,Q4818607,NA,NA
Barwick1903,Minister for Foreign Affairs,Q2660943,NA,NA
Batchelor1865,Minister of Agriculture,Q50840445,1899-12-08,1901-05-15
Batchelor1865,Minister of Education,Q50840894,1899-12-08,1901-05-15
Batchelor1865,Minister for Foreign Affairs,Q2660943,NA,NA
Beahan1937,President of the Australian Senate,Q7241304,1994-02-01,1996-08-20
Beazley1917,Minister for Education,Q11796967,1972-12-19,1975-11-11
Beazley1948,Deputy Prime Minister of Australia,Q5261065,1995-06-20,1996-03-11
Beazley1948,Minister for Finance of Australia,Q6865833,1993-12-23,1996-03-11
Beazley1948,Minister for Employment and Workplace Relations,Q6865809,1991-12-27,1993-12-23
Beazley1948,Minister for Infrastructure and Transport,Q6865888,1990-04-04,1991-12-09
Beazley1948,Leader of the House,Q16147127,1988-02-15,1996-03-11
Beazley1948,Minister for Defence,Q3315112,1984-12-13,1990-04-04
Bell1872,Speaker of the House of Representatives,Q7574256,1934-10-23,1940-11-19
Billson1966,Minister for Small Business (Australia),Q11796971,2013-09-18,2015-09-21
Billson1966,Minister for Veterans' Affairs,Q6865985,2007-03-23,2007-12-03
Bishop1942,Speaker of the House of Representatives,Q7574256,2013-11-12,2015-08-02
Bishop1942,Minister for Social Services,Q6865821,1998-10-21,2001-11-26
Bishop1942,Minister for Defence Science and Personnel,Q6865787,1996-03-11,1998-10-21
Bishop1956,Minister for Foreign Affairs,Q2660943,2013-09-18,2018-08-26
Bishop1956,Minister for Education,Q11796967,2006-01-27,2007-12-03
Bishop1956,Minister for the Status of Women,Q6866013,2006-01-27,2007-12-03
Bishop1956,Minister for Social Services,Q6865821,2003-10-07,2006-01-27
Blewett1933,Minister for Social Services,Q6865821,1987-07-24,1990-04-04
Blundell1871,Minister of Agriculture,Q50840445,1917-08-27,1918-04-29
Blundell1871,Minister of Repatriation,Q52685611,1917-08-27,1918-04-29
Blundell1871,Minister of Marine,Q50395381,1915-04-03,1917-07-14
Bowden1871,Minister for Defence,Q3315112,1923-02-09,1925-01-16
Bowen1911,Minister for Foreign Affairs,Q2660943,1971-08-02,1972-12-05
Bowen1911,Attorney-General for Australia,Q4818607,1966-12-14,1969-11-12
Bowen1922,Attorney-General for Australia,Q4818607,1984-12-13,1990-04-04
Bowen1922,Vice-President of the Executive Council,Q11122003,1983-07-14,1987-07-24
Bowen1922,Deputy Prime Minister of Australia,Q5261065,1983-03-11,1990-04-04
Bowen1922,Minister for Trade,Q6865979,1983-03-11,1984-12-13
Bowen1922,Minister for Industry and Innovation,Q6865883,1975-06-06,1975-11-11
Bowen1922,"Minister for Broadband, Communications and the Digital Economy",Q11796917,1972-12-19,1974-06-12
Bowen1973,Treasurer of Australia,Q2390270,2013-06-27,2013-09-18
Bowen1973,Minister for Immigration and Border Protection of Australia,Q11796950,2010-09-14,2013-02-04
Brandis1957,Leader of the Government in the Senate,Q17009655,2015-09-20,2017-12-20
Brandis1957,Attorney-General for Australia,Q4818607,2013-09-18,2017-12-20
Brandis1957,Minister for the Arts,Q6865994,2013-09-18,2015-09-21
Brandis1957,Vice-President of the Executive Council,Q11122003,2013-09-18,2017-12-20
Brough1961,Minister for Defence Materiel,Q6865784,2015-09-21,2015-12-29
Brough1961,Minister for Social Services,Q6865821,2006-01-27,2007-12-03
Brough1961,Treasurer of Australia,Q2390270,2004-07-18,2006-01-27
Brough1961,Minister for Employment and Workplace Relations,Q6865809,2001-02-14,2004-07-18
Brown1885,President of the Australian Senate,Q7241304,1943-09-23,1951-03-19
Bruce1883,Prime Minister of Australia,Q319145,1923-02-09,1929-10-22
Bruce1883,Treasurer of Australia,Q2390270,1921-12-21,1923-02-08
Bruce1883,Minister for Foreign Affairs,Q2660943,NA,NA
Burke1966,Speaker of the House of Representatives,Q7574256,2012-10-09,2013-11-12
Burke1969,Minister for Immigration and Border Protection of Australia,Q11796950,2013-07-01,2013-09-18
Burke1969,Minister for the Arts,Q6865994,2013-03-25,2013-09-18
Burke1969,"Minister for Sustainability, Environment, Water, Population and Communities",Q11796986,2010-09-14,2013-07-01
Burke1969,Minister for Agriculture,Q6865745,2007-12-03,2010-09-14
Bury1913,Minister for Foreign Affairs,Q2660943,NA,NA
Butler1970,Minister for Social Inclusion (Australia),Q11796976,2011-12-14,2013-07-01
Butler1970,Minister for Mental Health and Ageing,Q6865924,2010-09-14,2013-07-01
Button1932,Minister for Industry and Innovation,Q6865883,NA,NA
Cairns1914,"Minister for Sustainability, Environment, Water, Population and Communities",Q11796986,1975-06-06,1975-07-02
Cairns1914,Treasurer of Australia,Q2390270,1974-12-11,1975-06-06
Cairns1914,Deputy Prime Minister of Australia,Q5261065,1974-06-12,1975-07-02
Cairns1914,Minister for Trade,Q6865979,1972-12-19,1974-12-11
Cairns1914,Minister for Industry and Innovation,Q6865883,1972-12-19,1973-10-09
Calvert1940,President of the Australian Senate,Q7241304,2002-08-19,2007-08-13
Cameron1895,Speaker of the House of Representatives,Q7574256,1950-02-22,1956-08-09
Cameron1895,Minister for Defence,Q3315112,1940-03-14,1940-10-28
Cameron1895,Minister for Agriculture,Q6865745,1940-03-14,1940-10-28
Cameron1895,"Minister for Broadband, Communications and the Digital Economy",Q11796917,1938-11-07,1939-04-26
Cameron1900,Minister for Health,Q6865857,NA,NA
Cameron1900,Minister for Industry and Innovation,Q6865883,NA,NA
Carlton1935,Minister for Health,Q6865857,1982-05-07,1983-03-11
Carr1947,Minister for Foreign Affairs,Q2660943,2012-03-13,2013-09-18
Carr1955,Minister for Human Services,Q6865874,2012-03-05,2013-03-23
Carr1955,Minister for Defence Materiel,Q6865784,NA,NA
Carr1955,Minister for Industry and Innovation,Q6865883,NA,NA
Casey1890,Minister for Foreign Affairs,Q2660943,NA,NA
Cash1970,Minister for Employment and Workplace Relations,Q6865809,2015-09-21,NA
Chifley1885,Prime Minister of Australia,Q319145,1945-07-13,1949-12-19
Chifley1885,Treasurer of Australia,Q2390270,1941-10-07,1949-12-18
Chifley1885,Minister for Defence,Q3315112,1931-03-03,1932-01-06
Child1921,Speaker of the House of Representatives,Q7574256,1986-02-11,1989-08-28
Ciobo1974,Minister for Trade,Q6865979,2016-02-18,NA
Ciobo1974,Minister for Foreign Affairs,Q2660943,2015-09-21,2016-02-18
Clare1972,Minister for Defence Materiel,Q6865784,2012-03-01,2013-02-04
Clare1972,Minister for Justice,Q6865898,2011-12-14,2013-09-18
Clare1972,Minister for Home Affairs,Q6865868,2011-12-14,2013-09-18
Clare1972,Minister for Defence Materiel,Q6865784,2010-09-14,2011-12-14
Collins1962,Minister for Social Services,Q6865821,NA,NA
Collins1962,Manager of Government Business in the Senate,Q6746718,NA,NA
Combet1958,Minister for Industry and Innovation,Q6865883,2011-12-14,2013-06-26
Combet1958,Minister for Climate Change and Energy Efficiency (Australia),Q11796924,2010-09-15,2013-07-01
Combet1958,Minister for Defence Materiel,Q6865784,2009-06-09,2010-09-14
Conroy1963,"Minister for Broadband, Communications and the Digital Economy",Q11796917,NA,NA
Cook1860,Prime Minister of Australia,Q319145,1913-06-24,1914-09-17
Coonan1947,"Minister for Broadband, Communications and the Digital Economy",Q11796917,2004-07-18,2007-12-03
Cope1907,Speaker of the House of Representatives,Q7574256,1973-02-27,1975-02-27
Cormack1906,President of the Australian Senate,Q7241304,1971-08-17,1974-07-08
Cormann1970,Special Minister of State,Q7574624,2016-02-18,2016-07-19
Cormann1970,Minister for Finance of Australia,Q6865833,2013-09-18,NA
Costello1957,Treasurer of Australia,Q2390270,1996-03-11,2007-12-03
Cowan1926,Minister for Primary Industries,Q50390608,1975-12-17,1976-05-14
Crean1916,Deputy Prime Minister of Australia,Q5261065,1975-07-02,1975-11-11
Crean1916,Minister for Trade,Q6865979,1974-12-11,1975-11-11
Crean1916,Treasurer of Australia,Q2390270,1972-12-19,1974-12-11
Crean1949,Minister for Infrastructure and Transport,Q6865888,2010-09-14,2013-03-21
Crean1949,Minister for the Arts,Q6865994,2010-09-14,2013-03-21
Crean1949,Minister for Education,Q11796967,2010-06-28,2010-09-14
Crean1949,Minister for Employment and Workplace Relations,Q6865809,2010-06-28,2010-09-14
Crean1949,Minister for Social Inclusion (Australia),Q11796976,2010-06-28,2010-09-14
Crean1949,Minister for Trade,Q6865979,2007-12-03,2010-06-28
Crean1949,Minister for Agriculture,Q6865745,1991-06-04,1993-12-23
Crean1949,Minister for Industry and Innovation,Q6865883,1990-04-04,1991-06-04
Cunningham1879,President of the Australian Senate,Q7241304,1941-07-01,1943-07-04
Curtin1885,Prime Minister of Australia,Q319145,1941-10-07,1945-07-05
Dawkins1947,Treasurer of Australia,Q2390270,1991-12-27,1993-12-22
Dawkins1947,Minister for Education,Q11796967,1987-07-24,1991-12-27
Dawkins1947,Minister for Trade,Q6865979,1984-12-13,1987-07-24
Dawkins1947,Minister for Finance of Australia,Q6865833,1983-03-11,1984-12-13
Deakin1856,Prime Minister of Australia,Q319145,1909-06-02,1910-04-29
Deakin1856,Minister for Foreign Affairs,Q2660943,1905-07-05,1908-11-13
Deakin1856,Prime Minister of Australia,Q319145,1905-07-05,1908-11-13
Deakin1856,Prime Minister of Australia,Q319145,1903-09-24,1904-04-27
Deakin1856,Attorney-General for Australia,Q4818607,1901-01-01,1903-09-24
Debus1943,Minister for Home Affairs,Q6865868,2007-12-03,2009-06-09
Debus1943,"Minister for Finance, Services and Property",Q23073734,NA,NA
Debus1943,Minister for Police and Emergency Services,Q6865931,NA,NA
Debus1943,"Minister for Industry, Resources and Energy",Q23073738,NA,NA
Debus1943,"Minister for Tourism, Major Events, Hospitality and Racing",Q6865974,NA,NA
Downer1910,Minister for Immigration and Border Protection of Australia,Q11796950,1958-03-19,1963-12-18
Downer1951,Minister for Foreign Affairs,Q2660943,1996-03-11,2007-12-03
Dreyfus1956,Attorney-General for Australia,Q4818607,2013-02-04,2013-09-18
Duncan1945,Minister for Health,Q50825423,1979-03-15,1979-09-18
Duncan1945,Minister of Prices and Consumer Affairs,Q52730383,1975-10-09,1979-03-15
Durack1926,Attorney-General for Australia,Q4818607,1977-09-06,1983-03-11
Dutton1970,Minister for Home Affairs,Q6865868,2017-12-20,2018-08-21
Dutton1970,Minister for Immigration and Border Protection of Australia,Q11796950,2014-12-23,2018-08-21
Dutton1970,Minister for Health,Q6865857,2013-09-18,2014-12-23
Dutton1970,Minister for Sport,Q11796981,2013-09-18,2014-12-23
Dutton1970,Treasurer of Australia,Q2390270,2006-01-27,2007-12-03
Dutton1970,Minister for Employment and Workplace Relations,Q6865809,2004-10-26,2006-01-27
Ellicott1927,Attorney-General for Australia,Q4818607,1975-12-22,1977-09-06
Ellis1977,Minister for Education,Q11796967,2013-07-01,2013-09-18
Ellis1977,Minister for Employment and Workplace Relations,Q6865809,2011-12-14,2013-09-18
Ellis1977,Minister for the Status of Women,Q6866013,2010-09-15,2011-12-14
Ellis1977,Minister for Sport,Q11796981,2007-12-03,2010-06-24
Ellis1977,Minister for Education,Q11796967,2007-12-03,2010-06-28
Ellison1954,Minister for Justice,Q6865898,NA,NA
Ellison1954,Minister for Home Affairs,Q6865868,NA,NA
Ellison1954,Special Minister of State,Q7574624,NA,NA
Ellison1954,Minister for Human Services,Q6865874,NA,NA
Emerson1954,Minister for Industry and Innovation,Q6865883,2013-03-25,2013-06-26
Emerson1954,Minister for Trade,Q6865979,2010-09-14,2013-06-26
Emerson1954,Treasurer of Australia,Q2390270,2009-06-09,2010-09-14
Emerson1954,Minister for Small Business (Australia),Q11796971,2007-12-03,2010-09-14
Enderby1926,Attorney-General for Australia,Q4818607,NA,NA
Enderby1926,Minister for Home Affairs,Q6865868,NA,NA
Enderby1926,Minister for Industry and Innovation,Q6865883,NA,NA
Evans1944,Leader of the Government in the Senate,Q17009655,1993-03-24,1996-03-11
Evans1944,Minister for Foreign Affairs,Q2660943,1988-09-02,1996-03-11
Evans1944,Minister for Infrastructure and Transport,Q6865888,1987-07-24,1988-09-02
Evans1944,Minister for Industry and Innovation,Q6865883,1984-12-13,1987-07-24
Evans1944,Attorney-General for Australia,Q4818607,1983-03-11,1984-12-13
Evans1958,Minister for Employment and Workplace Relations,Q6865809,2010-09-14,2011-12-14
Evatt1894,Attorney-General for Australia,Q4818607,1941-10-07,1949-12-19
Evatt1894,Minister for Foreign Affairs,Q2660943,1941-10-07,1949-12-19
Everingham1923,Minister for Health,Q6865857,1972-12-19,1975-11-11
Fadden1894,Treasurer of Australia,Q2390270,1949-12-19,1958-12-09
Fadden1894,Prime Minister of Australia,Q319145,1941-08-29,1941-10-07
Fadden1894,Minister for Infrastructure and Transport,Q6865888,1940-08-14,1940-10-28
Farrell1954,Minister for Sport,Q11796981,2013-07-01,2013-09-18
Faulkner1954,Minister for Defence,Q3315112,2009-06-09,2010-09-13
Faulkner1954,Vice-President of the Executive Council,Q11122003,2007-12-03,2010-09-13
Faulkner1954,Special Minister of State,Q7574624,2007-12-03,2009-06-09
Faulkner1954,"Minister for Sustainability, Environment, Water, Population and Communities",Q11796986,1994-03-25,1996-03-11
Faulkner1954,Minister for Sport,Q11796981,1994-03-25,1996-03-11
Faulkner1954,Minister for Veterans' Affairs,Q6865985,1993-03-24,1994-03-25
Ferguson1943,President of the Australian Senate,Q7241304,2007-08-14,2008-08-25
Ferguson1953,Minister for Foreign Affairs,Q2660943,2007-12-03,2013-03-22
Ferguson1953,Minister for Industry and Innovation,Q6865883,2007-12-03,2013-03-22
Fifield1967,"Minister for Broadband, Communications and the Digital Economy",Q11796917,2015-09-21,2019-05-29
Fischer1946,Deputy Prime Minister of Australia,Q5261065,1996-03-11,1999-07-20
Fischer1946,Minister for Trade,Q6865979,1996-03-11,1999-07-20
Fisher1862,Treasurer of Australia,Q2390270,1914-09-17,1915-10-26
Fisher1862,Prime Minister of Australia,Q319145,1914-09-17,1915-10-27
Fisher1862,Prime Minister of Australia,Q319145,1910-04-29,1913-06-24
Fisher1862,Prime Minister of Australia,Q319145,1908-11-13,1909-06-02
Fisher1862,Minister for Trade,Q6865979,1904-04-27,1904-08-17
Fitzgibbon1962,Minister for Agriculture,Q6865745,2013-07-02,2013-09-18
Fitzgibbon1962,Minister for Defence,Q3315112,2007-12-03,2009-06-04
Forbes1923,Minister for Immigration and Border Protection of Australia,Q11796950,1971-03-22,1972-12-05
Forbes1923,Minister for Health,Q6865857,1966-01-26,1971-03-22
Forbes1923,Minister for Defence,Q3315112,1963-12-18,1966-01-26
Forde1890,Prime Minister of Australia,Q319145,1945-07-06,1945-07-13
Fraser1889,Minister for Social Services,Q6865821,1943-09-21,1945-07-06
Fraser1930,Prime Minister of Australia,Q319145,1975-11-11,1983-03-11
Fraser1930,Minister for Education,Q11796967,1971-08-20,1972-12-05
Fraser1930,Minister for Defence,Q3315112,1969-11-12,1971-03-08
Freeth1914,Minister for Foreign Affairs,Q2660943,NA,NA
Frydenberg1971,Treasurer of Australia,Q2390270,2018-08-24,NA
Garland1934,Minister for Special Trade Negotiations of Australia,Q25909440,NA,NA
Garland1934,"Minister for Broadband, Communications and the Digital Economy",Q11796917,NA,NA
Garland1934,Minister for Defence,Q3315112,NA,NA
Garland1934,Minister for Veterans' Affairs,Q6865985,NA,NA
Garland1934,Minister for Trade,Q6865979,NA,NA
Garland1934,Treasurer of Australia,Q2390270,NA,NA
Garrett1953,Minister for Education,Q11796967,2010-09-14,2013-06-26
Garrett1953,"Minister for Sustainability, Environment, Water, Population and Communities",Q11796986,2007-12-03,2010-09-14
Gillard1961,Commonwealth Chairperson-in-Office,Q5153709,2011-10-28,2013-06-27
Gillard1961,Prime Minister of Australia,Q319145,2010-06-24,2013-06-27
Gillard1961,Deputy Prime Minister of Australia,Q5261065,2007-12-03,2010-06-24
Gillard1961,Minister for Education,Q11796967,2007-12-03,2010-06-28
Gillard1961,Minister for Employment and Workplace Relations,Q6865809,2007-12-03,2010-06-28
Gillard1961,Minister for Social Inclusion (Australia),Q11796976,2007-12-03,2010-06-28
Givens1864,President of the Australian Senate,Q7241304,1913-07-09,1926-06-30
Glynn1855,Attorney-General for Australia,Q4818607,1909-06-02,1910-04-29
Glynn1855,Minister for Foreign Affairs,Q2660943,NA,NA
Gordon1865,Minister of Education,Q50840894,1917-07-14,1917-08-27
Gordon1865,Minister of Repatriation,Q52685611,1917-07-14,1917-08-27
Gorton1911,Minister for Defence,Q3315112,1971-03-19,1971-08-13
Gorton1911,Prime Minister of Australia,Q319145,1968-01-10,1971-03-10
Gorton1911,Minister for Social Services,Q6865821,1963-12-18,1967-02-28
Gorton1911,Minister for Home Affairs,Q6865868,1963-12-18,1964-03-04
Gorton1911,Minister for Education,Q11796967,1962-02-16,1968-02-28
Gorton1911,Minister for Defence,Q3315112,1958-12-10,1963-12-18
Gould1847,President of the Australian Senate,Q7241304,1907-02-20,1910-06-30
Green1869,Minister for Defence,Q3315112,1929-10-22,1931-02-04
Grimes1937,Minister for Social Services,Q6865821,1984-12-13,1987-02-16
Groom1867,Speaker of the House of Representatives,Q7574256,1926-01-13,1929-09-16
Groom1867,Attorney-General for Australia,Q4818607,1906-10-12,1908-11-13
Groom1867,Minister for Foreign Affairs,Q2660943,NA,NA
Guilfoyle1926,Minister for Finance of Australia,Q6865833,1980-11-03,1983-03-11
Guilfoyle1926,Minister for Education,Q11796967,NA,NA
Guilfoyle1926,Minister for Human Services,Q6865874,NA,NA
Gullett1878,Minister for Foreign Affairs,Q2660943,NA,NA
Hall1928,Minister of Industrial Development,Q50389337,1968-04-24,1970-06-02
Halverson1937,Speaker of the House of Representatives,Q7574256,1996-04-30,1998-03-03
Hartsuyker1959,Minister for Education,Q11796967,2015-09-21,2016-02-18
Hartsuyker1959,Minister for Employment and Workplace Relations,Q6865809,2013-09-18,2015-09-21
Hasluck1905,Minister for Foreign Affairs,Q2660943,1964-01-01,1969-01-01
Hasluck1905,Minister for Defence,Q3315112,1963-01-01,1964-01-01
Hasluck1905,Minister for Home Affairs,Q6865868,1951-01-01,1963-01-01
Hawke1929,Treasurer of Australia,Q2390270,1991-06-02,1991-06-04
Hawke1929,Prime Minister of Australia,Q319145,1983-03-11,1991-12-20
Hawker1949,Speaker of the House of Representatives,Q7574256,2004-11-16,2008-02-12
Hayden1933,Minister for Foreign Affairs,Q2660943,1983-03-11,1988-08-17
Hayden1933,Treasurer of Australia,Q2390270,1975-06-06,1975-11-11
Hayden1933,Minister for Human Services,Q6865874,1972-12-19,1975-06-06
Hayes1868,President of the Australian Senate,Q7241304,1938-07-01,1941-06-30
Higgs1862,Treasurer of Australia,Q2390270,1915-10-27,1916-11-13
Hill1946,Minister for Defence,Q3315112,2001-11-12,2006-01-27
